GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
api,com.tododo.api.services,MyUserDetailsService,11,56,1,3,1,14,1,4,0,3
api,com.tododo.api.services,JwtAuthenticationEntryPoint,0,8,0,0,0,3,0,2,0,2
api,com.tododo.api.services,JwtUtil,1,92,2,2,0,14,2,9,0,9
api,com.tododo.api.config,SwaggerConfig,0,14,0,0,0,3,0,2,0,2
api,com.tododo.api.config,SecurityConfiguration,0,141,0,0,0,16,0,6,0,6
api,com.tododo.api,ApiApplication,0,8,0,0,0,3,0,2,0,2
api,com.tododo.api.controllers,TagController,0,169,0,12,0,35,0,13,0,7
api,com.tododo.api.controllers,NoteController,0,243,0,14,0,47,0,17,0,10
api,com.tododo.api.controllers,HomeController,0,84,0,2,0,19,0,8,0,7
api,com.tododo.api.controllers,TodoController,0,251,0,14,0,49,0,17,0,10
api,com.tododo.api.controllers,GroupController,0,215,0,12,0,40,0,14,0,8
api,com.tododo.api.filters,JwtRequestFilter,0,66,3,7,0,17,3,4,0,2
api,com.tododo.api.models,Tag,6,36,0,0,2,16,2,9,2,9
api,com.tododo.api.models,GroupTypeEnum,0,24,0,0,0,2,0,1,0,1
api,com.tododo.api.models,AuthenticationRequest,0,36,0,0,0,16,0,8,0,8
api,com.tododo.api.models,MyUserDetails,0,45,0,0,0,14,0,8,0,8
api,com.tododo.api.models,Todo,0,111,0,0,0,38,0,19,0,19
api,com.tododo.api.models,BaseModel,0,9,0,0,0,3,0,3,0,3
api,com.tododo.api.models,UserEntity,3,53,0,0,1,22,1,16,1,16
api,com.tododo.api.models,Note,0,65,0,0,0,24,0,13,0,13
api,com.tododo.api.models,Group,0,61,0,0,0,22,0,12,0,12
api,com.tododo.api.models,AuthenticationResponse,0,9,0,0,0,4,0,2,0,2
